"created","text"
"18/04/2017","Nunggu sampe jam 9 (at Kampus F4 Universitas Gunadarma)  https://t.co/LuXNayzYML"
"18/04/2017","Yaudah disini aja (with Swara Darmagita at Sekretariat paduan suara Universitas Gunadarma D343)  https://t.co/UIB7jpAGI7"
"18/04/2017","Tingkatkan Pemanfaatan TI, Kementerian PANRB Gandeng Gunadarma https://t.co/yEFBVHTjEA"
"18/04/2017","@gunadarma_ min saya mau tanya klo akreditasi untuk fakultas psikologi apakah masih B atau sudah A ?"
"18/04/2017","Maen maen dikit (at sekretariat Mapa Gunadarma)  https://t.co/KOes4vpqcl"
"18/04/2017","Maka proses belajar, mengajar pada perkuliahan Universitas Gunadarma akan diliburkan, dan mulai aktif kembali pada tanggal 20 April 2017."
"18/04/2017","Sedang berlangsungnya sesi tanya jawab Diskusi Public Gunadarma. #DPG2017 #BEMFEUG #DPK https://t.co/V7gac1APNj"
"18/04/2017","MoU dengan Gunadarma https://t.co/SRQyUKJAhK"
"18/04/2017","Real Feel nya ngeriiihhh..  @ Kampus D Universitas Gunadarma, Depok. https://t.co/RNOmdLlvIH"
"18/04/2017","jauh banget ke bekasi (at Gunadarma University J1 Kalimalang)  https://t.co/c8XcJgjfbn"
"18/04/2017","Hari ini, Selasa 18 April 2017 sedang berlangsung kegiatan Diskusi Publik Gunadarma di D462... https://t.co/qbj6HyZz1X"
"18/04/2017","Div. PR Eks telah menjalankan program kerja ""Himamen Goes To Campus"" yaitu menghadiri Diskusi Publik Univ Gunadarma. https://t.co/zoASR30HcN"
"18/04/2017","#pathdaily (at Sekretariat Jurusan Psikologi Universitas Gunadarma) [pic]  https://t.co/q1mgbcAweQ"
"18/04/2017","RT @gunadarma_: Rangkaian Gunadarma Industrial Engineering Fair (GIEF-2) 2017. https://t.co/ipXn6E6mVh"
"18/04/2017","Rangkaian Gunadarma Industrial Engineering Fair (GIEF-2) 2017. https://t.co/ipXn6E6mVh"
"18/04/2017","RT @arkitentara: Foto Telanjang Ayam Kampus Universitas Gunadarma Lina Rosdiana Simamora https://t.co/5P7cl1lQMQ"
"18/04/2017","Analisis perancangan sistem akuntansi (at Universitas Gunadarma Kampus B)  https://t.co/T12A3SOlZU"
"18/04/2017","RT @munfess: #RL ada anak gunadarma disini? yang angkatan 2014? PI kalian apa kabar?"
"18/04/2017","RT @gunadarma_: Seluruh kegiatan Civitas Akademika Universitas Gunadarma akan diliburkan pada hari Rabu, 19 April 2017. https://t.co/oNbcp"
"18/04/2017","#RL ada anak gunadarma disini? yang angkatan 2014? PI kalian apa kabar?"
"17/04/2017","Foto Telanjang Ayam Kampus Universitas Gunadarma Lina Rosdiana Simamora https://t.co/5P7cl1lQMQ"
"17/04/2017","@gunadarma_ Oke. Terima kasih ya ka"
"17/04/2017","Kost-kost-an 24 Pintu + Kios Warung Dekat Univ Gunadarma https://t.co/4RjO2xazjj https://t.co/jZrAoxxnS7"
"17/04/2017","Mari menjuri.. Gunadarma Idol.. (at @komunitasug) [pic]  https://t.co/rdkCXEEUSV"
"17/04/2017","At Gunadarma University Karawaci  https://t.co/z6BBOUKIFH"
"17/04/2017","Kucing penunggu j3 @ Kampus J3 Universitas Gunadarma https://t.co/9HXMjdq9yl"
"17/04/2017","Berikut dailynews hari ini :) Lengkapnya bisa liat https://t.co/dW734yj3ox https://t.co/lKsYIYaIUl"
"17/04/2017","At Gunadarma University Karawaci  https://t.co/Ywh0MLSUi9"
"17/04/2017","Khusus untuk Cabang Pekayon&amp;Jatimulya,kami memberikan bonus 1 jam bagi mahasiswa UNJ,Gunadarma&amp;UNISMA,syaratnya tunjukin KTM pada saat dftr"
"17/04/2017","Sungguh sangat disayangkan kenapa Gunadarma ga ada PKL2an"
"17/04/2017","Gunadarma Idol.. Marii memilih... (at @komunitasug) [pic]  https://t.co/5xVsOBPSN0"
"17/04/2017","Bukan ruang BEM ataupun Himpunan tapi proses suara mahasiswa (at Universitas Gunadarma Kampus J) [pic]  https://t.co/f2AtezLzUd"
"17/04/2017","Langkah mudah menjadi investor di Universitas Gunadarma https://t.co/izYjMW6i1m"
"17/04/2017","@Gaaluhchandra Libur."
"17/04/2017","Sehubungan dgn Pilkada DKI Jakarta, maka seluruh kegiatan Civitas Akademika Universitas Gunadarma akan diliburkan pada Rabu, 19 April 2017."
"17/04/2017","@gunadarma_ .jadwal uts kapan keluar min?"
"17/04/2017","@binhotbutar Minggu ke-9 perkuliahan. Dapat dicek terus https://t.co/w6lgF67BOY"
"17/04/2017","RT @gunadarma_: Sehubungan dgn Pilkada DKI Jakarta, maka seluruh kegiatan Civitas Akademika Universitas Gunadarma akan diliburkan pada Rabu"
"17/04/2017","@gunadarma_ Iya di kampus D min . apakah kampus D juga tgl 19 tutup?"
"17/04/2017","Selamat malam  (at Universitas Gunadarma Kampus B)  https://t.co/MddZJU4Liy"
"17/04/2017","Kumpul lagi para pengangguran lulusan gunadarma..hahahah (w/ Ivan, Yusuf, &amp; Wahyu at Ketoprak Chicky Kelapa Dua)  https://t.co/6Rw4PMW2oz"
"17/04/2017","Segera daftarkan menjadi Pasangan CALON KETUA &amp; WAKIL KETUA BEMF Psikologi periode 2017/2018. Mari berkontribusi untuk Psikologi Gunadarma!"
"17/04/2017"," (with Swara Darmagita at Kampus Palem Universitas Gunadarma)  https://t.co/31mLaMuAVr"
"17/04/2017","@ggraviana Pembagian Buku Paket dan Digital Books ATA 2016/2017. https://t.co/23ELlEwq7i"
"17/04/2017","@gunadarma_ waktu pengambilan buku untuk kelas1  dimulai jam brp?"
"17/04/2017","@Lisdiana_Fasoh Beli formulir di Counter Kampus mana? Kampus Margonda, Depok (Kampus D)?"
"17/04/2017","@gunadarma_ iya makasih min"
